proposal_id,stance_mean,stance_std,n_sents,n_pos_sents,n_neg_sents,n_neu_sents,majority_label,top_pros,top_cons,neutral_examples,n_posts
0x001a41f25e7c6689ea5f1b03d234cd9286af0025d14f14f0eefc16515a3217b9,0.08141330937064811,0.33083222104429255,94,19,6,69,neutral,"[""If consensus on ARFC stage is reached and risk service providers provided feedback on risk parameters, escalate to ARFC snapshot stage."", ""We rank ETHx **ok in liquidity**, as liquidity has not materially improved since the initial analysis but has become more concentrated in a single venue."", ""We recommend listing it with borrow disabled to prevent a dump attack scenario, and an appropriate debt ceiling is crucial to prevent a profitable pump attack."", ""EUR stablecoins, in particular, are underrepresented in the ecosystem, and onboarding stEUR can help bridge this gap."", ""While it's relatively young, it has grown to a circulating supply of over $130M with strong peg resilience.""]","[""CRVUSD If the community wishes to take a more conservative stance, it may wish to only limit CRVUSD borrowing to non-isolated collateral."", ""EUR stablecoins, in particular, are underrepresented in the ecosystem, and onboarding stEUR can help bridge this gap."", ""A 3.8k (~$8M) swap of ETHx to ETH incurs ~2% slippage."", ""We recommend 2m for the supply cap, limited by 25% depth for agEUR.""]","[""If consensus on ARFC stage is reached and risk service providers provided feedback on risk parameters, escalate to ARFC snapshot stage."", ""Summary Should the community wish to list ETHx, Gauntlet recommends the following parameters from a market risk perspective."", ""When analyzing market cap and trading volumes of assets for listing, we look at data from the past 180 days.""]",29
0x003ce30676805f71e5b356745fb3f01e5f82b8d1655750aaef46c7ed4a0a3578,0.10220408302963159,0.30809041770804657,70,12,3,55,neutral,"[""Protocol emergency Guardian This Guardian is the holder of `EMERGENCY_ADMIN` role in Aave v3, together with similar role in v2 and surrounding systems."", ""Motivation** After the publication and the ARFC and the ARFC Snapshot, that passed on 2024-05-10, it has been decided to update the proposed members of the Aave Guardian, with a few changes in nominations."", ""CoinShares has been active on Aave for the last few months, and is one of the first institutional players to be involved in the launch of Aave Arc."", ""the objectives of this renewal are: - Onboard BGD Labs for technical support on transaction building - Reduce delays between Snapshot votes and executions of governance decisions."", ""This proposal aims to start a renewal of the aave guardian, allowing for the removal of members who wish to step down & the addition of new members more reflective of the Aave DAO's current active contributors.""]","[""We put out governance newsletter , written by @monetSupply (Nate Parton) who is on the AAVE Risk committee."", ""Our service allows users to participate in governance and understand on-chain governance communities."", ""We would be happy to suggest ourselves as keyholders.""]","[""The community guardian is a temporary tool to allow V3 markets to be upgraded following governance votes on Snapshot while an on-chain cross-chain governance module is implemented."", ""Summary * Allow the Guardian to temporarily hold keys of new deployments of the Aave Protocol on L2 (or otherwise) while the technical implementations for Aave Governance to control such deployment on those networks is finalized (i.e., a protocol governance bridge)."", ""The consequence of the governance V3 implementation will limit the Guardian's responsibilities to a failsafe emergency actor allowed to freeze Aave markets or cancel AIPs if they’re deemed insecure or malicious.""]",71
0x00a60204ac48099bccff1b5801299486f73ef97fb4b51773e74a22a9e767930c,-0.0784471968670825,0.37072688917979785,16,1,3,12,neutral,"[""This post will serve as a reference and adherence to DAO-wide policies - as well as establish collective values within the Governance protocol.""]","[""It aims to codify and define the values and character upheld by individuals or organizations who embrace a delegate role, representing Aave and its stakeholders."", ""This proposal will be submitted as a “ranked choice vote” to better outline and define the top values as identified by current stakeholders within Aave."", ""If implemented, it encourages more professionalism and accountability within the role.""]","[""As Aave introduces novel mechanisms such as Butter, Gas Fee Rebates, or other ongoing discussions about incentives - the community garners more delegate interest."", ""[/quote] While we are a clear supporter of this, launching this trend inside the Aave DAO, conflicts of interest will always happen in a open-market especially in crypto."", ""This proposal aims to codify nine values as identified by the Aave community.""]",7
0x00d31a50619d1f2a0b9158145d5cd91f61ce7987952216996f0ac8c64e5fb39a,0.12137538712815941,0.2724509556395285,78,20,2,56,neutral,"[""This is an exciting opportunity for Aave v3 to deploy onto Cosmos ecosystem and get a first mover advantage in: 1.) TVL based programmatic incentives that will drive value to the AAVE token 2.) Open Aave markets to all major Cosmos assets (ATOM, CRO, OSMO, etc) cementing Aave as the #1 cross-chain lending facility."", ""Summary LlamaRisk supports the deployment of Aave on the Rootstock Network, focusing initially on the use case of borrowing rUSDT against RBTC."", ""As highlighted in your analysis, the RootstockLabs team, the core Rootstock contributor, has been actively working to capitalize on the identified opportunities and mitigate potential risks."", ""The proposal outlines a comprehensive liquidity bootstrapping and incentives distribution strategy to ensure the success of deploying Aave on Rootstock."", ""Thank you @LlamaRisk for your valuable feedback and recommendations on this deployment proposal.""]","[""I enjoy this reminder of Polygon's capabilities and successes: [quote=\""capncook, post:1, topic:7252\""] our low gas fees, accessibility to NFT markets, and our native DeFi protocols allowed Aave to have tremendous success."", ""Under the umbrella of our DeFi For All campaign, we’ve expanded greatly into the DeFi and DeFi 2.0 markets and experimented with derivatives, stablecoins, and new-age DEX protocols – and we’re excited to explore this next chapter with Aave.""]","[""[ARFC] Deploy Aave on Rootstock Network ## Author: ACI ## Date: 2025-01-17 ## Summary Current ARFC advocates the deployment of Aave on the Rootstock network, the longest-standing and battle-tested EVM-compatible Bitcoin L2, by providing general background information to gauge the community's interest in the opportunity to deploy Aave V3 on Rootstock."", ""This deployment proposal is an opportunity to tap into the growing interest in Bitcoin-based DeFi and unlock the vast potential of the Bitcoin market cap by expanding BTC utility via Aave's protocol."", ""In the sections that follow, we provide a detailed examination of Rootstock’s technical specifications and the associated risks relevant to deployment.""]",30
0x011c725f11b8da5de80cef9b52a5deccb120fcd7f276dd6ede76a7c2fc844860,-0.06660225366552668,0.6570580052040069,8,2,3,3,negative,"[""Since Aave migration has happened to IPFS, Transak proposed to be added back on Aave to enable the community to on-ramp on all the networks where Aave v3 is currently deployed."", ""It does this by providing API-driven fiat payment methods to the on-ramp to 100+ crypto assets and abstracting away the complexity of user KYC, risk monitoring & compliance, payment methods, and customer support.""]","[""The purpose of this proposal is to add it to allow users in over 100+ countries across multiple blockchain networks to buy cryptocurrencies in order to get a yield-earning token in their wallets."", ""The Problem Unfortunately, to start earning interest on tokens or borrowing funds, users have to obtain their cryptocurrencies beforehand in order to interact with Aave."", ""A user would have to go through as many as three steps before reaching Aave.""]",[],2
0x013f763e92d253926bc7f04d79138593a1b31c969a34db7f0955e46850c796d9,0.13982297171846578,0.3389609306485329,64,16,2,46,neutral,"[""Just to drop my 2ct on this proposal: - i don't think the chainlink monetization is a to concerning point here as a) it didn't happen yet b) technically i think there's no blocker to just upgrade all the v2 oracles to be usd based in case the cost isn't justified."", ""Simple Summary A proposal to reduce Liquidation Threshold (LT) and Loan-To-Value (LTV) for CRV on Aave V3 Polygon."", ""AIP-124 presents an opportunity to Freeze many Reserves, whereas this proposal intends to Disable Borrowing where possible, whilst retaining the ability to deposit assets."", ""The objective is to mitigate the risk exposure associated with CRV and diminish its borrowing power, thereby aligning it more accurately with the existing market climate."", ""Abstract There is $28.61M and $14.87M of wMATIC deposited into Aave v3 and v2 earning 2.87% and 0.73% respectively.""]","[""We specifically recommend freezing for GHST, BAL, and Sushi, while only pausing borrowing on other markets as a risk-off approach because the community can utilize the asset on the Polygon v3 deployment with enhanced risk tooling, such as supply and borrow caps."", ""LINK's borrow balance decreased WoW by -63% from $1M to $377K.""]","[""Motivation As the market liquidity of CRV has seen a substantial decline following the initial Polygon V3 listing, this proposal seeks to address this by decreasing the liquidation threshold (LT) and loan-to-value ratio (LTV)."", ""With Chainlink expected to monetise oracles, v2 partially frozen and three communities actively distributing rewards on v3, this publication seeks to further encourage the migration of users from v2 to v3."", ""Simple Summary** In response to recent market events and the resulting discussion on the Aave governance forum (link) regarding Aave community risk appetite, Llama and Chaos Labs propose to make a series of parameter changes to the Polygon Aave v2 Liquidity Pool.""]",27
0x014370349d306dfd70bb13b81ca299c1d025e177f317de6f910b1a7c70436ce7,0.11897900787710447,0.3728163253636104,54,14,3,37,neutral,"[""Published dated: 202-11-08 ## Summary: DAOplomats are seeking community support to add the EURe, Euro-backed stablecoin from Monerium to Aave V3 on the Polygon chain."", ""Here’s why Matic X will be a strong addition to the Aave v3 Polygon market: 1."", ""So far, it has been listed on more than 100 trading platforms such as Binance, Kucoin, Huobi Global, Crypto.com OKX, Poloniex and Bittrex, and is live on ten mainstream public chains including Ethereum, TRON, Polygon, Avalanche, BSC, Fantom and Cronos, with its total supply surging past 1.4 billion."", ""TL;DR** With the top pair on Quickswap being the WMATIC-SAND liquidity pool, which has garnered $135M in liquidity and ~$3.5M volume daily, SAND has proved itself as a high-demand asset that would contribute greatly to the Aave v3 ecosystem."", ""Specification** TrueUSD is the first digital asset with live on-chain attestations by independent third-party institutions and is backed 1:1 with the U.S.""]","[""Reasoning and Risk Analysis** The Sandbox (SAND) is one of DeFi’s most popular and promising GameFi projects, holding a $4B market cap with $800M volume daily."", ""Adding SAND to Aave v3 token pairs shows that Aave is serious about Metaverse tokens and expanding its impact beyond GameFi."", ""TrueUSD is already deployed as collateral on Aave v3 Ethereum Mainnet.""]","[""As the WMATIC-SAND pair is the largest by volume on Quickswap (deployed on Polygon L2), it would benefit Aave v3 to add it as collateral to expand Aave v3’s cross-chain liquidity to more pairings."", ""Now as for the adding TUSD to AAVE v3 Polygon proposal, I'd like to mention that TUSD has expanded into many new ecosystems in the past year, and Polygon is one that we are particularly focused on and are very optimistic in furthering how TUSD and Polygon ecosystems can work together."", ""Hello, I am proposing to onboard agEUR on AAVE V3 when it is deployed on Polygon.""]",32
0x0152d891ae51ef5eef5c912507842469c7527be2da82e4e03bccf26801e040aa,0.18103186507011884,0.3638670730199581,100,27,4,69,neutral,"[""Among many operational efficiency and business benefits, the following are key improvements from a technical risk perspective compared to MantleDA: - 20x improvement to censorship resistance for data availability with over 200 operators (https://app.eigenlayer.xyz/avs/0x870679e138bcdf293b7ff14dd44b70fc97e12fc0) making the data much more available as compare with 10 operators on MantleDA."", ""This has just been introduced into Mantle network's recent testnet upgrade yesterday with a planned target to bring that into mainnet by Q1 2025."", ""We will continue to monitor WBTC’s liquidity evolution and provide updated risk guidance if conditions improve sufficiently to support its safe integration."", ""This would mean a significant reduction in risk for any specific operator downtime to lead to Mantle network's data availability downtime."", ""By deploying on Mantle, Aave can take advantage of Mantle’s integration with Bybit products, enabling seamless access to Bybit’s 30 million active users.""]","[""This significantly undermines its stablecoin borrowing use case, and also creates substantial challenges for liquidators who need to atomically sell BTC-like collateral for stablecoins."", ""Mantle is an ecosystem which prioritised chain-native & ecosystem-aligned protocols over multi-chain copypasta, which is highly reflected in its culture and values."", ""Ink’s interoperability with these chains makes its DeFi usage more seamless.""]","[""Governor Role Scope * EOA1 retains the governor role on select contracts, including: * SolvBTCRouter * SolvBTC LST Router * OpenFundMarket * SolvBTCFactory * This governor role is limited to new product deployments and does not permit contract upgrades or parameter changes."", ""Overview Chaos Labs supports the listing of openUSDT, tBTC, WBTC, and LBTC on Aave’s BOB deployment based on their risk profiles."", ""Accordingly, we recommend deploying conservative risk parameters for supported assets, similar to those implemented on Aave’s Scroll deployment.""]",46
0x01986b578bdc52661ab0bedb85c57306f448b03d52cddf996784a7c498910d9d,0.07105941429595337,0.3106257192915239,64,13,3,48,neutral,"[""Hi Everyone :wave: To progress this conversation and ensure the communities wishes are reflected in the forward looking budget for the DAO, @Llamaxyz intends to present a Snapshot vote that will determine the path forward."", ""Similarly applies, if a Delegate Platform must be an Aave maximalist and not receive payment from other entities for a similar service, then this will likely impact Aave's over delegation platform budget."", ""Service Providers are essential for driving the growth and development of the ecosystem, while Delegation Platforms facilitate governance by actively participating in decision-making."", ""Specification The following are the key deliverables within the grant: ## Aave Protocol V4 Key deliverables for the 1 year scope of development include: * New Modular Architecture * An innovative design to enhance flexibility and efficiency, minimizing disruption for integrators."", ""Financial analysis for how this would affect the communities cash flow and runway has already began.""]","[""Note: Llama has already began researching various options and contributors at Llama have implemented governance processes at several well known DAOs, like APWine and Paladin DAO."", ""At that point in time, v4 is then well underway, meaning you can essentially come to the DAO and ask for ANY amount as payment for year 2… Because what are we going to be able to say at that time if you quote an extremely high price for year 2?"", ""Because let’s just cast our minds forward to near the end of year 1 of building v4.""]","[""Delegation is a native optional \""optimization\"" of the governance system of Aave: it is optional because the core of the governance still is direct voting (you have AAVE, you can vote), it is optimization because, in practice, it is not so simple to create awareness and expertise about all proposal for AAVE holders."", ""The vote shall present the following options to the community: --- **Option 1 - Delegate Gas Rebate Program** This option reflects the proposal outline here and no additional funding outside of this proposal is to be allocated to delegates for governance participating during the next 6 months."", ""Fuzzy-controlled Interest Rates * Automated rate adjustments based on market conditions, optimizing for both suppliers and borrowers.""]",22
0x021b40c7042ce770c0ce1ee5ff63591c132a9f0f12e3a1cb92fa209299793dec,0.03631583474368872,0.29328081571306797,100,13,10,77,neutral,"[""Agora operates an open partnership model, allowing collaboration with a diverse range of customers who meet KYB (Know Your Business) requirements and operate in jurisdictions we can serve."", ""Our assessment indicates that ggAVAX can add value to the protocol through an AVAX-correlated E-mode, enabling leveraged staking opportunities like other network tokens."", ""The reserves primarily consist of short-term US T-bills managed by global investment manager VanEck, with State Street serving as custodian."", ""As a liquid staking token, its architecture is similar to established protocols like RocketPool, with a dual token system for validation."", ""functions as the primary interface entity, facilitating platform access and executing core operational services, including minting and redemption (pursuant to Terms of Use); - Agora Forge Ltd.""]","[""Its liquidity is distributed on Uniswap V3, Balancer, Wombat, and Pharoah, with smaller pools available on Trader Joe's."", ""In 2022, It raised $7.5M in two rounds led by Framework Ventures and Coinfund and with participation from Silverstone Ventures, Fintech Collective, and Avalaunch."", ""It is ranked number 6 on the Avalanche C-Chain in terms of TVL chain and currently has ~1.1m in AVAX deposits (~800k from LST depositors and ~300k from the minipool operators)."", ""This architecture, combined with permissioned mint/burn mechanisms and whitelisted market makers, creates a native bridging solution, though it introduces additional challenges in terms of transparency and oversight."", ""This risk is amplified by an insufficient bug bounty program of only $50k for a protocol securing approximately $60m in TVL.""]","[""[TEMP CHECK]: Onboard ggAVAX to Aave V3 on Avalanche ### Author: ACI ( Aave Chan Initiative) ### Date: 2024-04-19 --- ### Summary The current proposal is set to add ggAVAX, a liquid staking AVAX token issued by the Gogopool protocol, to the AAVE V3 Avalanche market."", ""Summary While onboarding AUSD as a non-collateral asset to Avalanche presents manageable risks, the upside for Aave appears limited, with users' main use case being LP farming (temporary incentives) on Trader Joe DEX."", ""Due to significant gaps in information regarding Agora's legal structure, corporate governance, and inter-entity relationships, **we are unable to provide full support for the ARFC proposal at this stage**.""]",36
