index,label,p_pos,p_neu,p_neg
0,pos,0.7305741310119629,0.0,0.2694258689880371
1,neu,0.33,0.34,0.33
2,pos,0.946748673915863,0.0,0.0532513260841369
3,neg,0.5141139328479767,0.0,0.4858860671520233
4,neg,0.0663731098175048,0.0,0.9336268901824952
5,pos,0.7305741310119629,0.0,0.2694258689880371
6,neu,0.33,0.34,0.33
7,pos,0.946748673915863,0.0,0.0532513260841369
8,neg,0.5141139328479767,0.0,0.4858860671520233
9,neg,0.0663731098175048,0.0,0.9336268901824952
10,pos,0.7305741310119629,0.0,0.2694258689880371
11,neu,0.33,0.34,0.33
12,pos,0.8780420422554016,0.0,0.1219579577445983
13,pos,0.946748673915863,0.0,0.0532513260841369
14,neg,0.5141139328479767,0.0,0.4858860671520233
15,neg,0.0663731098175048,0.0,0.9336268901824952
16,pos,0.7305741310119629,0.0,0.2694258689880371
17,neu,0.33,0.34,0.33
18,pos,0.8780420422554016,0.0,0.1219579577445983
19,pos,0.946748673915863,0.0,0.0532513260841369
20,neg,0.5141139328479767,0.0,0.4858860671520233
21,neg,0.0663731098175048,0.0,0.9336268901824952
22,pos,0.7305741310119629,0.0,0.2694258689880371
23,neu,0.33,0.34,0.33
24,pos,0.8780420422554016,0.0,0.1219579577445983
25,pos,0.946748673915863,0.0,0.0532513260841369
26,neu,0.33,0.34,0.33
27,neg,0.5141139328479767,0.0,0.4858860671520233
28,neg,0.0663731098175048,0.0,0.9336268901824952
29,pos,0.7305741310119629,0.0,0.2694258689880371
30,neu,0.33,0.34,0.33
31,pos,0.8780420422554016,0.0,0.1219579577445983
32,pos,0.946748673915863,0.0,0.0532513260841369
33,neg,0.5141139328479767,0.0,0.4858860671520233
34,neg,0.0663731098175048,0.0,0.9336268901824952
35,pos,0.7305741310119629,0.0,0.2694258689880371
36,neu,0.33,0.34,0.33
37,pos,0.946748673915863,0.0,0.0532513260841369
38,neg,0.5141139328479767,0.0,0.4858860671520233
39,neg,0.0663731098175048,0.0,0.9336268901824952
40,neu,0.33,0.34,0.33
41,neu,0.33,0.34,0.33
42,neu,0.33,0.34,0.33
43,neu,0.33,0.34,0.33
44,neu,0.33,0.34,0.33
45,neu,0.33,0.34,0.33
46,neu,0.33,0.34,0.33
47,neu,0.33,0.34,0.33
48,neu,0.33,0.34,0.33
49,neu,0.33,0.34,0.33
50,neu,0.33,0.34,0.33
51,neu,0.33,0.34,0.33
52,neu,0.33,0.34,0.33
53,neu,0.33,0.34,0.33
54,neu,0.33,0.34,0.33
55,neu,0.33,0.34,0.33
56,neu,0.33,0.34,0.33
57,neu,0.33,0.34,0.33
58,neu,0.33,0.34,0.33
59,neu,0.33,0.34,0.33
60,neu,0.33,0.34,0.33
61,neu,0.33,0.34,0.33
62,neu,0.33,0.34,0.33
63,neu,0.33,0.34,0.33
64,neu,0.33,0.34,0.33
65,neu,0.33,0.34,0.33
66,neu,0.33,0.34,0.33
67,neu,0.33,0.34,0.33
68,neu,0.33,0.34,0.33
69,neu,0.33,0.34,0.33
70,neu,0.33,0.34,0.33
71,neu,0.33,0.34,0.33
72,neu,0.33,0.34,0.33
73,neu,0.33,0.34,0.33
74,neu,0.33,0.34,0.33
75,neu,0.33,0.34,0.33
76,neu,0.33,0.34,0.33
77,neu,0.33,0.34,0.33
78,neu,0.33,0.34,0.33
79,neu,0.33,0.34,0.33
80,neu,0.33,0.34,0.33
81,neu,0.33,0.34,0.33
82,neu,0.33,0.34,0.33
83,neu,0.33,0.34,0.33
84,neu,0.33,0.34,0.33
85,neu,0.33,0.34,0.33
86,neu,0.33,0.34,0.33
87,neu,0.33,0.34,0.33
88,neu,0.33,0.34,0.33
89,neu,0.33,0.34,0.33
90,neu,0.33,0.34,0.33
91,neu,0.33,0.34,0.33
92,neu,0.33,0.34,0.33
93,neu,0.33,0.34,0.33
